pw,amp,P,delP
4.58E-07,1.2,-20.53191128,2.190588724
6.86E-07,1.2,-18.58834061,4.134159388
1.02E-06,1.2,-15.66404279,7.058457215
1.53E-06,1.2,-11.56357494,11.15892506
2.28E-06,1.2,-6.8748624,15.8476376
3.42E-06,1.2,-2.284190645,20.43830936
5.12E-06,1.2,1.522154861,24.24465486
7.67E-06,1.2,4.348092556,27.07059256
1.14E-05,1.2,6.782186477,29.50468648
1.72E-05,1.2,9.117600915,31.84010091
2.56E-05,1.2,10.66932781,33.39182781
3.83E-05,1.2,12.31877613,35.04127613
5.75E-05,1.2,13.37997976,36.10247976
8.61E-05,1.2,14.73530574,37.45780574
1.29E-04,1.2,15.40434625,38.12684625
1.92E-04,1.2,16.46586923,39.18836923
2.88E-04,1.2,17.23295052,39.95545052
4.31E-04,1.2,17.70590947,40.42840947
6.47E-04,1.2,18.08082764,40.80332764
9.69E-04,1.2,18.74986815,41.47236815
2.04E-07,1.3,-21.77195151,0.950548485
3.03E-07,1.3,-20.90651009,1.815989909
4.58E-07,1.3,-19.15934034,3.56315966
6.90E-07,1.3,-16.03959965,6.682900346
1.03E-06,1.3,-11.54664933,11.17585067
1.52E-06,1.3,-5.583087287,17.13941271
2.28E-06,1.3,0.086033061,22.80853306
3.41E-06,1.3,5.06886794,27.79136794
5.11E-06,1.3,8.777172665,31.49967267
7.65E-06,1.3,11.30898802,34.03148802
1.14E-05,1.3,13.25287803,35.97537803
1.72E-05,1.3,14.70592544,37.42842544
2.55E-05,1.3,15.86548921,38.58798921
3.83E-05,1.3,16.92669284,39.64919284
5.74E-05,1.3,17.88985569,40.61235569
8.60E-05,1.3,18.36281464,41.08531464
1.29E-04,1.3,18.83577359,41.55827359
1.92E-04,1.3,19.40709267,42.12959267
2.88E-04,1.3,19.78201083,42.50451083
4.31E-04,1.3,19.86280666,42.58530666
6.46E-04,1.3,20.23772482,42.96022482
9.69E-04,1.3,20.51460221,43.23710221
2.04E-07,1.4,-21.57586995,1.146630048
3.03E-07,1.4,-20.12218384,2.600316158
4.57E-07,1.4,-17.19852472,5.523975282
6.84E-07,1.4,-12.70589374,10.01660626
1.02E-06,1.4,-6.742331702,15.9801683
1.52E-06,1.4,-0.092803543,22.62969646
2.27E-06,1.4,6.262602272,28.98510227
3.40E-06,1.4,11.5395595,34.2620595
5.09E-06,1.4,14.16941563,36.89191563
7.63E-06,1.4,16.11298629,38.83548629
