t,V,Q
0,2.99705,3.30E-05
7.50E-08,2.99613,3.30E-05
1.50E-07,2.99242,3.30E-05
2.25E-07,2.98668,3.30E-05
3.00E-07,2.98457,3.30E-05
3.75E-07,2.97989,3.30E-05
4.50E-07,2.97657,3.30E-05
5.25E-07,2.97279,3.30E-05
6.00E-07,2.97004,3.30E-05
6.75E-07,2.96547,3.30E-05
7.50E-07,2.96234,3.30E-05
8.25E-07,2.95791,3.30E-05
9.00E-07,2.95495,3.30E-05
9.75E-07,2.94874,3.30E-05
1.05E-06,2.94661,3.30E-05
1.13E-06,2.94346,3.29E-05
1.20E-06,2.93996,3.29E-05
1.28E-06,2.93588,3.29E-05
1.35E-06,2.93283,3.29E-05
1.43E-06,2.92685,3.29E-05
1.50E-06,2.92124,3.29E-05
1.58E-06,2.92136,3.29E-05
1.65E-06,2.91651,3.29E-05
1.73E-06,2.91032,3.28E-05
1.80E-06,2.90794,3.28E-05
1.88E-06,2.90616,3.28E-05
1.95E-06,2.90179,3.28E-05
2.03E-06,2.89704,3.28E-05
2.10E-06,2.8968,3.28E-05
2.18E-06,2.89002,3.28E-05
2.25E-06,2.88632,3.27E-05
2.33E-06,2.88111,3.27E-05
2.40E-06,2.88006,3.27E-05
2.48E-06,2.87544,3.27E-05
2.55E-06,2.87126,3.27E-05
2.63E-06,2.86811,3.27E-05
2.70E-06,2.86383,3.27E-05
2.78E-06,2.86139,3.27E-05
2.85E-06,2.85713,3.26E-05
2.93E-06,2.85364,3.26E-05
3.00E-06,2.84894,3.26E-05
3.08E-06,2.84881,3.26E-05
3.15E-06,2.84289,3.26E-05
3.23E-06,2.83764,3.26E-05
3.30E-06,2.83357,3.26E-05
3.38E-06,2.82911,3.25E-05
3.45E-06,2.82619,3.25E-05
3.53E-06,2.8216,3.25E-05
3.60E-06,2.81808,3.25E-05
3.68E-06,2.81412,3.25E-05
3.75E-06,2.80851,3.25E-05
3.83E-06,2.80681,3.25E-05
3.90E-06,2.8037,3.24E-05
3.98E-06,2.79798,3.24E-05
4.05E-06,2.79539,3.24E-05
4.13E-06,2.79228,3.24E-05
4.20E-06,2.79023,3.24E-05
4.28E-06,2.78405,3.24E-05
4.35E-06,2.78055,3.24E-05
4.43E-06,2.77637,3.23E-05
4.50E-06,2.7743,3.23E-05
4.58E-06,2.76854,3.23E-05
4.65E-06,2.76407,3.23E-05
4.73E-06,2.76316,3.23E-05
4.80E-06,2.75745,3.23E-05
4.88E-06,2.75455,3.22E-05
4.95E-06,2.75169,3.22E-05
5.03E-06,2.74636,3.22E-05
5.10E-06,2.74323,3.22E-05
5.18E-06,2.73751,3.22E-05
5.25E-06,2.73527,3.22E-05
5.33E-06,2.73138,3.22E-05
5.40E-06,2.72968,3.21E-05
5.48E-06,2.72358,3.21E-05
5.55E-06,2.72026,3.21E-05
5.63E-06,2.71946,3.21E-05
5.70E-06,2.71347,3.21E-05
5.78E-06,2.70975,3.21E-05
5.85E-06,2.70553,3.21E-05
5.93E-06,2.7033,3.20E-05
6.00E-06,2.69767,3.20E-05
6.08E-06,2.69368,3.20E-05
6.15E-06,2.69007,3.20E-05
6.23E-06,2.6861,3.20E-05
6.30E-06,2.68327,3.20E-05
6.38E-06,2.68015,3.19E-05
6.45E-06,2.67579,3.19E-05
6.53E-06,2.67137,3.19E-05
6.60E-06,2.66953,3.19E-05
6.68E-06,2.66553,3.19E-05
6.75E-06,2.66002,3.19E-05
6.83E-06,2.65688,3.19E-05
6.90E-06,2.65406,3.18E-05
6.98E-06,2.64981,3.18E-05
7.05E-06,2.64514,3.18E-05
7.13E-06,2.64067,3.18E-05
7.20E-06,2.63736,3.18E-05
7.28E-06,2.63613,3.18E-05
7.35E-06,2.62975,3.18E-05
7.43E-06,2.62421,3.17E-05
7.50E-06,2.62043,3.17E-05
7.58E-06,2.61883,3.17E-05
7.65E-06,2.61523,3.17E-05
7.73E-06,2.61287,3.17E-05
7.80E-06,2.60695,3.17E-05
7.88E-06,2.6026,3.16E-05
7.95E-06,2.59843,3.16E-05
8.03E-06,2.59749,3.16E-05
8.10E-06,2.59515,3.16E-05
8.18E-06,2.58845,3.16E-05
8.25E-06,2.58477,3.16E-05
8.33E-06,2.57924,3.16E-05
8.40E-06,2.57594,3.15E-05
8.48E-06,2.57205,3.15E-05
8.55E-06,2.57092,3.15E-05
8.63E-06,2.56492,3.15E-05
8.70E-06,2.56305,3.15E-05
8.78E-06,2.56009,3.15E-05
8.85E-06,2.55621,3.14E-05
8.93E-06,2.55155,3.14E-05
9.00E-06,2.54729,3.14E-05
9.08E-06,2.54483,3.14E-05
9.15E-06,2.54007,3.14E-05
9.23E-06,2.53588,3.14E-05
9.30E-06,2.5342,3.14E-05
9.38E-06,2.52984,3.13E-05
9.45E-06,2.52475,3.13E-05
9.53E-06,2.51888,3.13E-05
9.60E-06,2.52075,3.13E-05
9.68E-06,2.5136,3.13E-05
9.75E-06,2.51,3.13E-05
9.83E-06,2.50743,3.12E-05
9.90E-06,2.50269,3.12E-05
9.98E-06,2.50041,3.12E-05
1.01E-05,2.49757,3.12E-05
1.01E-05,2.49369,3.12E-05
1.02E-05,2.48836,3.12E-05
1.03E-05,2.4838,3.12E-05
1.04E-05,2.48174,3.11E-05
1.04E-05,2.47443,3.11E-05
1.05E-05,2.47309,3.11E-05
1.06E-05,2.47054,3.11E-05
1.07E-05,2.46474,3.11E-05
1.07E-05,2.46141,3.11E-05
1.08E-05,2.45908,3.10E-05
1.09E-05,2.45478,3.10E-05
1.10E-05,2.45062,3.10E-05
1.10E-05,2.44758,3.10E-05
1.11E-05,2.4418,3.10E-05
1.12E-05,2.44046,3.10E-05
1.13E-05,2.43497,3.10E-05
1.13E-05,2.43279,3.09E-05
1.14E-05,2.42929,3.09E-05
1.15E-05,2.42482,3.09E-05
1.16E-05,2.42081,3.09E-05
1.16E-05,2.41891,3.09E-05
1.17E-05,2.41406,3.09E-05
1.18E-05,2.41123,3.08E-05
1.19E-05,2.40737,3.08E-05
1.19E-05,2.40365,3.08E-05
1.20E-05,2.40017,3.08E-05
1.21E-05,2.39579,3.08E-05
1.22E-05,2.39237,3.08E-05
1.22E-05,2.38885,3.07E-05
1.23E-05,2.38447,3.07E-05
1.24E-05,2.38087,3.07E-05
1.25E-05,2.37679,3.07E-05
1.25E-05,2.37385,3.07E-05
1.26E-05,2.36815,3.07E-05
1.27E-05,2.36567,3.06E-05
1.28E-05,2.3621,3.06E-05
1.28E-05,2.35809,3.06E-05
1.29E-05,2.35498,3.06E-05
1.30E-05,2.34961,3.06E-05
1.31E-05,2.34621,3.06E-05
1.31E-05,2.34341,3.06E-05
1.32E-05,2.33786,3.05E-05
1.33E-05,2.33551,3.05E-05
1.34E-05,2.3319,3.05E-05
1.34E-05,2.32723,3.05E-05
1.35E-05,2.32401,3.05E-05
1.36E-05,2.3231,3.05E-05
1.37E-05,2.31749,3.04E-05
1.37E-05,2.31033,3.04E-05
1.38E-05,2.30923,3.04E-05
1.39E-05,2.30525,3.04E-05
1.40E-05,2.30181,3.04E-05
1.40E-05,2.29796,3.04E-05
1.41E-05,2.29614,3.03E-05
1.42E-05,2.29072,3.03E-05
1.43E-05,2.28526,3.03E-05
1.43E-05,2.28189,3.03E-05
1.44E-05,2.27838,3.03E-05
1.45E-05,2.27537,3.03E-05
1.46E-05,2.27281,3.02E-05
1.46E-05,2.26699,3.02E-05
1.47E-05,2.26188,3.02E-05
1.48E-05,2.2591,3.02E-05
1.49E-05,2.2557,3.02E-05
1.49E-05,2.25084,3.02E-05
1.50E-05,2.24742,3.01E-05
1.51E-05,2.24383,3.01E-05
1.52E-05,2.24157,3.01E-05
1.52E-05,2.23764,3.01E-05
1.53E-05,2.23339,3.01E-05
1.54E-05,2.23144,3.01E-05
1.55E-05,2.22687,3.00E-05
1.55E-05,2.22067,3.00E-05
1.56E-05,2.21975,3.00E-05
1.57E-05,2.21577,3.00E-05
1.58E-05,2.21109,3.00E-05
1.58E-05,2.20787,3.00E-05
1.59E-05,2.20526,3.00E-05
1.60E-05,2.19932,2.99E-05
1.61E-05,2.19613,2.99E-05
1.61E-05,2.19289,2.99E-05
1.62E-05,2.1893,2.99E-05
1.63E-05,2.18549,2.99E-05
1.64E-05,2.18342,2.98E-05
1.64E-05,2.17875,2.98E-05
1.65E-05,2.17516,2.98E-05
1.66E-05,2.16896,2.98E-05
1.67E-05,2.16687,2.98E-05
1.67E-05,2.16271,2.98E-05
1.68E-05,2.15921,2.98E-05
1.69E-05,2.15675,2.97E-05
1.70E-05,2.15074,2.97E-05
1.70E-05,2.14578,2.97E-05
1.71E-05,2.14324,2.97E-05
1.72E-05,2.13908,2.97E-05
1.73E-05,2.13468,2.97E-05
1.73E-05,2.13379,2.96E-05
1.74E-05,2.12834,2.96E-05
1.75E-05,2.12463,2.96E-05
1.76E-05,2.12029,2.96E-05
1.76E-05,2.11545,2.96E-05
1.77E-05,2.11229,2.96E-05
1.78E-05,2.1087,2.95E-05
1.79E-05,2.10511,2.95E-05
1.79E-05,2.10267,2.95E-05
1.80E-05,2.09724,2.95E-05
1.81E-05,2.09314,2.95E-05
1.82E-05,2.09155,2.95E-05
1.82E-05,2.08711,2.94E-05
1.83E-05,2.083,2.94E-05
1.84E-05,2.08005,2.94E-05
1.85E-05,2.0759,2.94E-05
1.85E-05,2.07343,2.94E-05
1.86E-05,2.06713,2.94E-05
1.87E-05,2.06344,2.93E-05
1.88E-05,2.05974,2.93E-05
1.88E-05,2.05469,2.93E-05
1.89E-05,2.05213,2.93E-05
1.90E-05,2.04942,2.93E-05
1.91E-05,2.04734,2.93E-05
1.91E-05,2.04332,2.92E-05
1.92E-05,2.03843,2.92E-05
1.93E-05,2.03365,2.92E-05
1.94E-05,2.02929,2.92E-05
1.94E-05,2.02714,2.92E-05
1.95E-05,2.02449,2.92E-05
1.96E-05,2.01781,2.91E-05
1.97E-05,2.01496,2.91E-05
1.97E-05,2.01153,2.91E-05
1.98E-05,2.00776,2.91E-05
1.99E-05,2.00508,2.91E-05
2.00E-05,2.00005,2.91E-05
2.00E-05,1.9978,2.90E-05
2.01E-05,1.99417,2.90E-05
2.02E-05,1.98881,2.90E-05
2.03E-05,1.98603,2.90E-05
2.03E-05,1.98213,2.90E-05
2.04E-05,1.97813,2.90E-05
2.05E-05,1.97461,2.89E-05
2.06E-05,1.96986,2.89E-05
2.06E-05,1.96751,2.89E-05
2.07E-05,1.96391,2.89E-05
2.08E-05,1.9605,2.89E-05
2.09E-05,1.95461,2.88E-05
2.09E-05,1.95224,2.88E-05
2.10E-05,1.94854,2.88E-05
2.11E-05,1.94349,2.88E-05
2.12E-05,1.942,2.88E-05
2.12E-05,1.9381,2.88E-05
2.13E-05,1.9327,2.87E-05
2.14E-05,1.92756,2.87E-05
2.15E-05,1.92517,2.87E-05
2.15E-05,1.92263,2.87E-05
2.16E-05,1.91723,2.87E-05
2.17E-05,1.91696,2.87E-05
2.18E-05,1.91127,2.86E-05
2.18E-05,1.90766,2.86E-05
2.19E-05,1.90038,2.86E-05
2.20E-05,1.90035,2.86E-05
2.21E-05,1.89692,2.86E-05
2.21E-05,1.8899,2.86E-05
2.22E-05,1.8875,2.85E-05
2.23E-05,1.88209,2.85E-05
2.24E-05,1.87944,2.85E-05
2.24E-05,1.87813,2.85E-05
2.25E-05,1.87328,2.85E-05
2.26E-05,1.86998,2.85E-05
2.27E-05,1.86493,2.84E-05
2.27E-05,1.8621,2.84E-05
2.28E-05,1.85829,2.84E-05
2.29E-05,1.85554,2.84E-05
2.30E-05,1.85069,2.84E-05
2.30E-05,1.84748,2.83E-05
2.31E-05,1.84493,2.83E-05
2.32E-05,1.83879,2.83E-05
2.33E-05,1.83455,2.83E-05
2.33E-05,1.83164,2.83E-05
2.34E-05,1.82717,2.83E-05
2.35E-05,1.82256,2.82E-05
2.36E-05,1.82111,2.82E-05
2.36E-05,1.81684,2.82E-05
2.37E-05,1.81409,2.82E-05
2.38E-05,1.81031,2.82E-05
2.39E-05,1.80469,2.82E-05
2.39E-05,1.80116,2.81E-05
2.40E-05,1.79804,2.81E-05
2.41E-05,1.793,2.81E-05
2.42E-05,1.78969,2.81E-05
2.42E-05,1.78625,2.81E-05
2.43E-05,1.78337,2.80E-05
2.44E-05,1.77763,2.80E-05
2.45E-05,1.77543,2.80E-05
2.45E-05,1.77187,2.80E-05
2.46E-05,1.76814,2.80E-05
2.47E-05,1.76463,2.80E-05
2.48E-05,1.7619,2.79E-05
2.48E-05,1.75524,2.79E-05
2.49E-05,1.75316,2.79E-05
2.50E-05,1.75119,2.79E-05
2.51E-05,1.74547,2.79E-05
2.51E-05,1.74161,2.79E-05
2.52E-05,1.73643,2.78E-05
2.53E-05,1.73447,2.78E-05
2.54E-05,1.72868,2.78E-05
2.54E-05,1.72468,2.78E-05
2.55E-05,1.72327,2.78E-05
2.56E-05,1.71812,2.78E-05
2.57E-05,1.71569,2.77E-05
2.57E-05,1.71257,2.77E-05
2.58E-05,1.70914,2.77E-05
2.59E-05,1.70221,2.77E-05
2.60E-05,1.69896,2.77E-05
2.60E-05,1.69611,2.76E-05
2.61E-05,1.69349,2.76E-05
2.62E-05,1.69017,2.76E-05
2.63E-05,1.6861,2.76E-05
2.63E-05,1.68296,2.76E-05
2.64E-05,1.67744,2.76E-05
2.65E-05,1.67394,2.75E-05
2.66E-05,1.66991,2.75E-05
2.66E-05,1.66595,2.75E-05
2.67E-05,1.66274,2.75E-05
2.68E-05,1.65914,2.75E-05
2.69E-05,1.6561,2.75E-05
2.69E-05,1.65251,2.74E-05
2.70E-05,1.64686,2.74E-05
2.71E-05,1.64556,2.74E-05
2.72E-05,1.64159,2.74E-05
2.72E-05,1.63605,2.74E-05
2.73E-05,1.63417,2.73E-05
2.74E-05,1.62866,2.73E-05
2.75E-05,1.6239,2.73E-05
2.75E-05,1.62144,2.73E-05
2.76E-05,1.61902,2.73E-05
2.77E-05,1.61486,2.73E-05
2.78E-05,1.60996,2.72E-05
2.78E-05,1.60791,2.72E-05
2.79E-05,1.60506,2.72E-05
2.80E-05,1.59875,2.72E-05
2.81E-05,1.59545,2.72E-05
2.81E-05,1.59301,2.71E-05
2.82E-05,1.58756,2.71E-05
2.83E-05,1.58484,2.71E-05
2.84E-05,1.58296,2.71E-05
2.84E-05,1.57646,2.71E-05
2.85E-05,1.57247,2.71E-05
2.86E-05,1.57001,2.70E-05
2.87E-05,1.56691,2.70E-05
2.87E-05,1.56214,2.70E-05
2.88E-05,1.55981,2.70E-05
2.89E-05,1.55618,2.70E-05
2.90E-05,1.55087,2.69E-05
2.90E-05,1.54773,2.69E-05
2.91E-05,1.54267,2.69E-05
2.92E-05,1.54044,2.69E-05
2.93E-05,1.53521,2.69E-05
2.93E-05,1.53187,2.69E-05
2.94E-05,1.52924,2.68E-05
2.95E-05,1.52343,2.68E-05
2.96E-05,1.52,2.68E-05
2.96E-05,1.51813,2.68E-05
2.97E-05,1.51366,2.68E-05
2.98E-05,1.5093,2.67E-05
2.99E-05,1.50586,2.67E-05
2.99E-05,1.50103,2.67E-05
3.00E-05,1.49965,2.67E-05
3.01E-05,1.49467,2.67E-05
3.02E-05,1.49194,2.66E-05
3.02E-05,1.48729,2.66E-05
3.03E-05,1.48253,2.66E-05
3.04E-05,1.47961,2.66E-05
3.05E-05,1.47524,2.66E-05
3.05E-05,1.47135,2.66E-05
3.06E-05,1.46832,2.65E-05
3.07E-05,1.46384,2.65E-05
3.08E-05,1.46226,2.65E-05
3.08E-05,1.45613,2.65E-05
3.09E-05,1.45398,2.65E-05
3.10E-05,1.44941,2.64E-05
3.11E-05,1.44598,2.64E-05
3.11E-05,1.4425,2.64E-05
3.12E-05,1.4412,2.64E-05
3.13E-05,1.43547,2.64E-05
3.14E-05,1.43361,2.63E-05
3.14E-05,1.42973,2.63E-05
3.15E-05,1.42515,2.63E-05
3.16E-05,1.42126,2.63E-05
3.17E-05,1.41757,2.63E-05
3.17E-05,1.41492,2.63E-05
3.18E-05,1.40892,2.62E-05
3.19E-05,1.40625,2.62E-05
3.20E-05,1.40449,2.62E-05
3.20E-05,1.39839,2.62E-05
3.21E-05,1.3942,2.62E-05
3.22E-05,1.39331,2.61E-05
3.23E-05,1.38808,2.61E-05
3.23E-05,1.38463,2.61E-05
3.24E-05,1.37818,2.61E-05
3.25E-05,1.37465,2.61E-05
3.26E-05,1.36857,2.60E-05
3.26E-05,1.36706,2.60E-05
3.27E-05,1.3647,2.60E-05
3.28E-05,1.35987,2.60E-05
3.29E-05,1.35529,2.60E-05
3.29E-05,1.35333,2.60E-05
3.30E-05,1.34532,2.59E-05
3.31E-05,1.3441,2.59E-05
3.32E-05,1.3407,2.59E-05
3.32E-05,1.33555,2.59E-05
3.33E-05,1.33196,2.59E-05
3.34E-05,1.32908,2.58E-05
3.35E-05,1.32751,2.58E-05
3.35E-05,1.32093,2.58E-05
3.36E-05,1.3176,2.58E-05
3.37E-05,1.31312,2.58E-05
3.38E-05,1.31099,2.57E-05
3.38E-05,1.30633,2.57E-05
3.39E-05,1.30234,2.57E-05
3.40E-05,1.30017,2.57E-05
3.41E-05,1.29598,2.57E-05
3.41E-05,1.2917,2.56E-05
