t,V,Q
6.16E-6,2.69105967609877,3.17577246354899E-5
6.22999999999999E-6,2.68793008276926,3.17421892740847E-5
6.3E-6,2.68413762135397,3.17278890701491E-5
6.37E-6,2.67793611569296,3.17140963666824E-5
6.44000000000001E-6,2.67725489088999,3.16993442712092E-5
6.51E-6,2.67038763918182,3.16846524406741E-5
6.58E-6,2.67003077539058,3.16710775625527E-5
6.65000000000001E-6,2.66525790640818,3.16578549206638E-5
6.72E-6,2.66229019853718,3.16437146115053E-5
6.78999999999999E-6,2.65883336755879,3.16300563114982E-5
6.86000000000001E-6,2.65455801306026,3.16171395664804E-5
6.93E-6,2.64935897824554,3.16030664659487E-5
6.99999999999999E-6,2.64682271260036,3.158582553974E-5
7.07000000000001E-6,2.64428381008994,3.15710780875405E-5
7.14E-6,2.63918657866971,3.15595563947695E-5
7.20999999999999E-6,2.63780758330332,3.15493208219426E-5
7.28000000000001E-6,2.63301528920211,3.15376786183951E-5
7.35E-6,2.6311169544767,3.15240133577219E-5
7.41999999999999E-6,2.62586516338134,3.15079496520481E-5
7.49000000000001E-6,2.62221359250335,3.1490458455938E-5
7.56E-6,2.61848779499788,3.14735442693389E-5
7.62999999999999E-6,2.61623176662916,3.14582777275858E-5
7.70000000000001E-6,2.61132663684631,3.14437504276738E-5
7.77E-6,2.60827942458646,3.14296008553118E-5
7.83999999999999E-6,2.60740609944124,3.14166099505508E-5
7.91000000000001E-6,2.60232253849764,3.14034267043344E-5
7.98E-6,2.59956083986409,3.1388322375812E-5
8.04999999999999E-6,2.5968269577149,3.13720385114843E-5
8.12000000000001E-6,2.59370575715521,3.13558195245969E-5
8.19E-6,2.58705290882582,3.13406688503467E-5
8.25999999999999E-6,2.58656402409334,3.13268344285096E-5
8.33000000000001E-6,2.5801310924996,3.13144228686904E-5
8.4E-6,2.5798789100788,3.13019973907221E-5
8.46999999999999E-6,2.57392670887721,3.12897503625871E-5
8.54000000000001E-6,2.57111332365976,3.12776956674189E-5
8.61E-6,2.56848100780708,3.12636271878782E-5
8.67999999999999E-6,2.5646914229853,3.12453040552881E-5
8.75000000000001E-6,2.56022924455256,3.12257805303602E-5
8.82E-6,2.55542016633054,3.12093970266436E-5
8.88999999999999E-6,2.5542167255605,3.11967653145368E-5
8.96000000000001E-6,2.54841620741145,3.11847963671354E-5
9.03E-6,2.54744683076361,3.11723801587372E-5
9.09999999999999E-6,2.54129389805685,3.11597878454861E-5
9.17000000000001E-6,2.538681005926,3.11455548374444E-5
9.24E-6,2.53642210094923,3.11294772221103E-5
9.30999999999999E-6,2.53328435326849,3.11128480716055E-5
9.38000000000001E-6,2.52871749350535,3.10965062714042E-5
9.45E-6,2.5256674046229,3.10813254657461E-5
9.51999999999999E-6,2.5218974819306,3.10677923006897E-5
9.59000000000001E-6,2.51780295975705,3.10553112212176E-5
9.66E-6,2.51775966454962,3.1042292500319E-5
9.72999999999999E-6,2.51212343304151,3.10278161766756E-5
9.80000000000001E-6,2.51095332354972,3.10119795521232E-5
9.87E-6,2.50481429832663,3.09952414873541E-5
9.93999999999999E-6,2.50278370286261,3.09790688557442E-5
1.001E-5,2.50026710067842,3.09646828987364E-5
1.008E-5,2.49629644512398,3.09509643401579E-5
1.015E-5,2.4917214310096,3.09375887503639E-5
1.022E-5,2.49031197964879,3.09252026670071E-5
1.029E-5,2.48417847062384,3.09119869794179E-5
1.036E-5,2.48173849488531,3.08966764040241E-5
1.043E-5,2.47984567492468,3.08804690030381E-5
1.05E-5,2.4754654007099,3.08651143897592E-5
1.057E-5,2.47036265449215,3.08510320090468E-5
1.064E-5,2.46533389655607,3.0836710952823E-5
1.071E-5,2.46365260200192,3.08223226805448E-5
1.078E-5,2.45822261807708,3.08089795459178E-5
1.085E-5,2.45715982948396,3.07951335318128E-5
1.092E-5,2.45110846169492,3.07798322323555E-5
1.099E-5,2.44776182823781,3.07635738635896E-5
1.106E-5,2.44358228680877,3.07474128263698E-5
1.113E-5,2.44205184546964,3.07319562658592E-5
1.12E-5,2.43934841931124,3.07173594346225E-5
1.127E-5,2.43565512307187,3.07027185814169E-5
1.134E-5,2.43108826332692,3.06880916293831E-5
1.141E-5,2.42754089693854,3.06732120836889E-5
1.148E-5,2.4284013828562,3.06576952539962E-5
1.155E-5,2.41888814621571,3.06424565220142E-5
1.162E-5,2.41852312812781,3.06276325852514E-5
1.169E-5,2.41339520497214,3.06127252350915E-5
1.176E-5,2.40851789169911,3.05982813549431E-5
1.183E-5,2.40619626777853,3.0584539628806E-5
1.19E-5,2.40396230126654,3.0570617148176E-5
1.197E-5,2.39918655427546,3.05560666637283E-5
1.204E-5,2.39705151589961,3.05410202657741E-5
1.211E-5,2.39430084961142,3.05259854558435E-5
1.218E-5,2.38837910302182,3.05113515548154E-5
1.225E-5,2.38647812875361,3.04967408181626E-5
1.232E-5,2.38257307010436,3.0482243643292E-5
1.239E-5,2.38068312676997,3.04677279186707E-5
1.246E-5,2.37320840147523,3.04535574940205E-5
1.253E-5,2.37295621903987,3.04395469524755E-5
1.26E-5,2.36907322225826,3.0425522511881E-5
1.267E-5,2.36355557954604,3.04109882608526E-5
1.274E-5,2.36151395457064,3.0395510850176E-5
1.281E-5,2.35760708630342,3.03805247033657E-5
1.288E-5,2.35484251110548,3.0366289384298E-5
1.295E-5,2.34985787687557,3.03512151829392E-5
1.302E-5,2.34939680863837,3.03358628870528E-5
1.309E-5,2.34468425740279,3.03210737164829E-5
1.316E-5,2.34084010803573,3.03070330467133E-5
1.323E-5,2.33572345429066,3.02927444286791E-5
1.33E-5,2.33348948774593,3.02780178298289E-5
1.337E-5,2.32818337050931,3.0263706042114E-5
1.344E-5,2.32865102325532,3.02498113638276E-5
1.351E-5,2.32261644098408,3.02359815799588E-5
1.358E-5,2.31975869221579,3.02224182951664E-5
1.365E-5,2.31834924082587,3.02079952683672E-5
1.372E-5,2.31614021419747,3.01937529875722E-5
1.379E-5,2.31197194217903,3.01797864722405E-5
1.386E-5,2.30647636139266,3.01651409736391E-5
1.393E-5,2.30494280636568,3.01502197127578E-5
1.4E-5,2.29913677205123,3.01360979406171E-5
1.407E-5,2.29775777667029,3.01220827557986E-5
1.414E-5,2.29077768929502,3.01066447323059E-5
1.421E-5,2.28859647908913,3.00910143546249E-5
1.428E-5,2.28624703873148,3.00761718797832E-5
1.435E-5,2.28339480476071,3.00607940978847E-5
1.442E-5,2.27799791368098,3.00445542618924E-5
1.449E-5,2.27545085685934,3.00290698852443E-5
1.456E-5,2.26997469978024,3.00140512928169E-5
1.463E-5,2.26691909611482,2.99985275194352E-5
1.47E-5,2.26386349107061,2.99830385080021E-5
1.477E-5,2.2596949806336,2.99680245535429E-5
1.484E-5,2.25757097320248,2.9953026817648E-5
1.491E-5,2.25225934116835,2.99369700577853E-5
1.498E-5,2.25025080756833,2.99204081074187E-5
1.505E-5,2.24583744046477,2.99045019791296E-5
1.512E-5,2.24293375694625,2.98892354288879E-5
1.519E-5,2.23773184555258,2.98733200246623E-5
1.526E-5,2.23621531307955,2.98574648705196E-5
1.533E-5,2.23337674820296,2.98424787205261E-5
1.54E-5,2.23011513531465,2.98275852672937E-5
1.547E-5,2.22635624358164,2.98119711166656E-5
1.554E-5,2.22238007324423,2.97960812037576E-5
1.561E-5,2.2197280952657,2.97803442376934E-5
1.568E-5,2.21452929753078,2.97646906988204E-5
1.575E-5,2.2113202011512,2.97487891925834E-5
1.582E-5,2.20692361821212,2.97331912658249E-5
1.589E-5,2.20512972642401,2.97179316635164E-5
1.596E-5,2.19885844188476,2.97021761657398E-5
1.603E-5,2.19801005521523,2.96859409592271E-5
1.61E-5,2.19410787317402,2.9670125202879E-5
1.617E-5,2.18704564320588,2.96551784665963E-5
1.624E-5,2.18627652256483,2.96397427573129E-5
1.631E-5,2.18406485633542,2.96235909790523E-5
1.638E-5,2.17916811932601,2.96081830752957E-5
1.645E-5,2.17755817489316,2.95933243808286E-5
1.652E-5,2.17090532647645,2.95782849446016E-5
1.659E-5,2.16928411133786,2.95632686791164E-5
1.666E-5,2.16536069595687,2.95488224720258E-5
1.673E-5,2.16312960743172,2.95346149521183E-5
1.68E-5,2.15885113792111,2.95198234609727E-5
1.687E-5,2.15386674353586,2.95045360573817E-5
1.694E-5,2.15379275531241,2.94890817962254E-5
1.701E-5,2.14829429784523,2.94735186218658E-5
1.708E-5,2.14542264016719,2.94580319257031E-5
1.715E-5,2.14106754421456,2.9442665728645E-5
1.722E-5,2.137385280306,2.94269449822062E-5
1.729E-5,2.13658858024947,2.94114026675623E-5
1.736E-5,2.13253578344093,2.93963863882831E-5
1.743E-5,2.12981005570119,2.93810943392964E-5
1.75E-5,2.12529224427791,2.93655775180922E-5
1.757E-5,2.11938440661262,2.93499958141424E-5
1.764E-5,2.1162492985438,2.93343955668082E-5
1.771E-5,2.1137982918569,2.93184616234426E-5
1.778E-5,2.11037215390907,2.93022588593638E-5
1.785E-5,2.10803925931187,2.92868138688385E-5
1.792E-5,2.10263973007178,2.92715867110861E-5
1.799E-5,2.09967753836618,2.92561092844934E-5
1.806E-5,2.09538803789265,2.92406573534624E-5
1.813E-5,2.09420402084443,2.92253259162307E-5
1.82E-5,2.08992291176192,2.92102215813419E-5
1.827E-5,2.08718327640755,2.91948345277513E-5
1.834E-5,2.08353985995719,2.91790975500153E-5
1.841E-5,2.07812642173459,2.9163995532519E-5
1.848E-5,2.07609870422831,2.91468426566145E-5
1.855E-5,2.07128698644893,2.91294511020154E-5
1.862E-5,2.06867409431807,2.91146851000651E-5
1.869E-5,2.06431348358247,2.91034113491922E-5
1.876E-5,2.06074957012398,2.90912963996968E-5
1.883E-5,2.05717174912725,2.9075612730477E-5
1.89E-5,2.05381672288214,2.90571667760844E-5
1.897E-5,2.05128069699068,2.90384218801814E-5
1.904E-5,2.04804929891335,2.90202980306134E-5
1.911E-5,2.0452164886353,2.90032957756717E-5
1.918E-5,2.039162722516,2.89871903516276E-5
