pw,amp,Pr
3.00E-06,3.00E+00,-3.741174964
5.00E-06,3.00E+00,9.664600658
7.00E-06,3.00E+00,19.83516859
9.00E-06,3.00E+00,22.13037424
1.00E-05,3.00E+00,22.29728532
3.00E-05,3.00E+00,23.65996762
5.00E-05,3.00E+00,23.66029185
7.00E-05,3.00E+00,23.9942503
9.00E-05,3.00E+00,23.82676025
1.00E-04,3.00E+00,24.03651962
3.00E-04,3.00E+00,24.29373879
5.00E-04,3.00E+00,24.35015993
7.00E-04,3.00E+00,24.52640273
9.00E-04,3.00E+00,24.70612317
0.001,3.00E+00,24.74099324
